1-01-01-19-a,1-01-01-19,PLASA SUBULUSSALAM,"JL. HAMZAH FANSHURI, DESA SETIA BUDI, SUBULUSSALAM KOTA",a,"2.643342,98.001006",GEDUNG PLASA,KOTA SUBULUSSALAM,,
1-01-01-20-a,1-01-01-20,RURAL LAYABAUNG,"KAMP.  LAYABAUNG - SIMEULEUH BARAT, KAB. SIMEULEUH",a,"2.722093,96.057545",GEDUNG PERANGKAT STO,KAB. SIMEULUE,,
1-01-01-21-a,1-01-01-21,STO / PLASA BAKONGAN,"JL. T. CUT ALI - TAPAKTUAN KE MEDAN, DESA BAKONGAN, KAB. ACEH SELATAN",a,"2.926717,97.482422",GEDUNG PERANGKAT STO & PLASA,KAB. ACEH SELATAN,,
1-01-01-22-a,1-01-01-22,STO / PLASA BLANG PIDIE,"JL. ISKANDAR MUDA NO. 32, DESA GEULUMPANG PAYONG, KEC. BLANG PIDIE, KAB. ACEH BARAT DAYA",a,"3.739839,96.839258",GEDUNG PERANGKAT STO & PLASA,KAB. ACEH BARAT DAYA,,
1-01-01-23-a,1-01-01-23,STO TAPAKTUAN,"JL. T. CUT ALI NO. 85 - PU KE MEDAN, KEC. TAPAKTUAN, KAB. ACEH SELATAN",a,"3.26112,97.190844",GEDUNG PERANGKAT STO & PLASA,KAB. ACEH SELATAN,,
1-01-01-24-a,1-01-01-24,STO CALANG,JL. GUNUNG CARAK CALANG,a,"4.634728,95.577703",GEDUNG PERANGKAT STO,KAB. ACEH JAYA,,
1-01-01-25-a,1-01-01-25,DATEL LHOKSEUMAWE,"JL. MERDEKA BARAT NO.1, DESA LANCANG GARAM, LHOKSEUMAWE KOTA",a,"5.179953,97.146272",GEDUNG PERKANTORAN,KOTA LHOKSEUMAWE,,
1-01-01-25-b,1-01-01-25,PLASA LHOKSEUMAWE,"JL. MERDEKA BARAT NO.1, DESA LANCANG GARAM, LHOKSEUMAWE KOTA",b,"5.179953,97.146272",GEDUNG PLASA,KOTA LHOKSEUMAWE,,
1-01-01-26-a,1-01-01-26,STO LHOKSEUMAWE,"JL. ISKANDAR MUDA NO.35, DESA KP JAWA LAMA, LHOKSEUMAWE KOTA",a,"5.182060,97.151883",GEDUNG PERANGKAT STO,KOTA LHOKSEUMAWE,,
1-01-01-26-b,1-01-01-26,DIVA LHOKSEUMAWE,"JL. ISKANDAR MUDA NO.35, DESA KP JAWA LAMA, LHOKSEUMAWE KOTA",b,"5.182060,97.151883",GEDUNG PERKANTORAN,KOTA LHOKSEUMAWE,,
1-01-01-27-a,1-01-01-27,PLASA PANTON LABU,"JL. PENDIDIKAN NO.29, DESA KEUDE PANTON LABU, KAB. ACEH UTARA",a,"5.114164,97.46",GEDUNG PLASA,KAB. ACEH UTARA,,
1-01-01-28-a,1-01-01-28,STO / PLASA  BIREUEN,"JL. BANDA ACEH - MEDAN, DESA PULO ARA, KAB. BIREUEN",a,"5.201214,96.704714",GEDUNG PERANGKAT STO,KAB. BIREUEN,,
1-01-01-29-a,1-01-01-29,STO / PLASA ARUN,"JL. BANDA ACEH – MEDAN, DESA TAMBON BAROH, KAB. ACEH UTARA",a,"5.236389,97.026434",GEDUNG PERANGKAT STO,KAB. ACEH UTARA,,
1-01-01-29-b,1-01-01-29,STO KRUENGGUKUEH,"JL. BANDA ACEH – MEDAN, DESA TAMBON BAROH, KAB. ACEH UTARA",b,"5.236389,97.026434",GEDUNG PERANGKAT STO,KAB. ACEH UTARA,,
